venue_id,venue_name,location,starting_price
,Prime Padel & Tennis Club,Kabupaten Cirebon,"Rp150,000"
,Armor Tennis Indoor,4.37·  Kota Tangerang Selatan,"Rp150,000"
,Adhyaksa Sports Center,5.00·  Kota Samarinda,"Rp150,000"
,YOLO Sports & Lifestyle Pluit,4.33·  Kota Jakarta Utara,"Rp150,000"
,Tenis Indoor Rampal,4.93·  Kota Malang,"Rp150,000"
,Prospero Tenis Court,5.00·  Kota Tangerang Selatan,"Rp150,000"
,Tennis Indoor Kodiklat,5.00·  Kota Bandung,"Rp150,000"
,Lapangan Sahabat Muara Karang,4.21·  Kota Jakarta Utara,"Rp160,000"
,Wins Arena PG - Tennis,4.72·  Kota Jakarta Timur,"Rp160,000"
,Unity Sports Center,4.83·  Kota Semarang,"Rp160,000"
,Court Nation,5.00·  Kabupaten Bekasi,"Rp160,000"
,Gading Slam Tennis Court,4.65·  Kota Jakarta Utara,"Rp165,000"
,Arte Padel & Tennis Club,4.95·  Kota Samarinda,"Rp165,000"
,Metro Margomulyo Tennis Indoor,4.96·  Kota Surabaya,"Rp175,000"
,Ambassador Tennis,4.94·  Kota Malang,"Rp175,000"
,Royal Court Palmerah,4.94·  Kota Jakarta Barat,"Rp175,000"
,Kinderfield Jambi Racket Club,5.00·  Kota Jambi,"Rp175,000"
,HQ Padel & Tennis,4.95·  Kota Jakarta Selatan,"Rp175,000"
,Finley Racquet Club,4.92·  Kota Jakarta Timur,"Rp175,000"
,CROWN RACQUET CLUB - Tennis,4.83·  Kabupaten Bekasi,"Rp175,000"
,JOI Sports And Social,Kabupaten Sleman,"Rp175,000"
,Puri Kencana Karah Sport Center,4.85·  Kota Surabaya,"Rp180,000"
,MMS ARENA,4.20·  Kota Jakarta Selatan,"Rp180,000"
,GlobalXtreme Tennis Court,5.00·  Kabupaten Malang,"Rp180,000"
2,Foreground Racquet Simulator - PIK 2,4.98·  Kabupaten Tangerang,"Rp185,000"
,Homeground Tennis Jemursari,5.00·  Kota Surabaya,"Rp185,000"
,Lucky Tennis Indoor,4.89·  Kota Tangerang,"Rp190,000"
,Seba Court,4.95·  Kota Jakarta Selatan,"Rp190,000"
,Emirates Club,5.00·  Kabupaten Cirebon,"Rp198,000"
,Anwa Racquet Privé (ex Anwa Tennis Club),4.85·  Kota Jakarta Barat,"Rp199,000"
,Next Gen Pulomas,4.17·  Kota Jakarta Timur,"Rp200,000"
,Love Tennis Academy Sunter,4.80·  Kota Jakarta Utara,"Rp200,000"
,The Raquette Temple,4.88·  Kota Tangerang Selatan,"Rp200,000"
,Urban Racquet Club,4.78·  Kota Jakarta Utara,"Rp200,000"
,MY Tennis Club - Sunter,4.91·  Kota Jakarta Utara,"Rp200,000"
,The Field,4.76·  Kota Jakarta Selatan,"Rp200,000"
,Armor Padel & Tennis,4.85·  Kota Tangerang Selatan,"Rp200,000"
,D'Sports Arena,4.91·  Kabupaten Minahasa Utara,"Rp200,000"
,Tennis Court At Sunlake,4.20·  Kota Jakarta Utara,"Rp200,000"
,Pluit Padel Parq (PPP),4.91·  Kota Jakarta Utara,"Rp200,000"
,Istana Court,5.00·  Kota Pekanbaru,"Rp200,000"
,Treeside Courts,4.69·  Kota Bekasi,"Rp200,000"
,Foreground Racquet Simulator - Pluit,5.00·  Kota Jakarta Utara,"Rp205,000"
,House Of Tennis Gading Serpong,4.94·  Kota Tangerang Selatan,"Rp210,000"
,Arman Tennis Court A (d/h Weedees),4.74·  Kota Depok,"Rp220,000"
,Permata Sport Arena - Daan Mogot,4.79·  Kota Jakarta Barat,"Rp220,000"
